,actual_label,prediction,abstract
10996,donald,joe,"...I am hopeful Congress will engage with my Team to pass meaningful legislation that will make a real difference and, most importantly, Save Lives!"
11049,joe,donald,Donald Trump has a dog whistle about as big as a foghorn.
11050,joe,donald,Four more years: http://t.co/0KRZ8pTY
11099,joe,donald,We've got to level with the American people. Don't play games with them. Tell them the truth and be authentic. https://t.co/PdJCTVnuU2
11130,joe,donald,"We’ve got a lot of good Senate candidates to vote for. People committed to doing the hard work, who will never stop fighting for you. https://t.co/HL0QgP5z8T"
11136,joe,donald,"Great to see Mayor @marty_walsh, and hear about everything he's doing to keep Boston strong. https://t.co/U74RGLciBb"
11178,donald,joe,". @ Andre_Reed83. Congratulations Andre, you deserve it!"
11188,joe,donald,"Thank you to Governor Tom Vilsack and @ChristieVilsack for opening up your home for yesterday’s house party. It was a pleasure getting to spend some time with the residents of Waukee, Iowa! https://t.co/A6GC1AEJKf"
11238,donald,joe,"National Prescription Drug # TakeBackDay numbers are in! Another record broken: nearly 1 MILLION pounds of Rx pills disposed! Let’s keep fighting this opioid epidemic, America!"
11424,joe,donald,Expecting a great crowd at the #Gen44 event tonight—looking forward to seeing you all there. –Joe
11445,donald,joe,Let’s all take a moment to remember all of the heroes from a very tragic day that we cannot let happen again!
11453,joe,donald,Thank you to the @NVAssemblyDems &amp; @NVSenateDems for their hard work — and the people of Nevada for making this a reality. The Silver State is in good hands with these women leading the way. https://t.co/jiOThF0OOh
11537,donald,joe,"We will always provide for our Veterans and their mental health. I pushed Congress to provide $10 Billion for Vet mental health, suicide prevention outreach, and funding for my PREVENTS Initiative to end Vet suicide. Congress responded. A big win for our Vets!"
11566,joe,donald,10 days.
11567,joe,donald,"Thanks to supporters like you, we are on track to have our biggest fundraising day ever. Together, we can win this.

Join us. https://t.co/B7uyMcat6n"
11745,donald,joe,""" @ therealTMac11: @ NRA Non-hunters don't get it. The Hunting community raises over $2billion dollars annually for conservation. # googleit"""
11794,joe,donald,Today we honor our nation’s fallen heroes who made the ultimate sacrifice for their country. We will never forget.  – Joe
11798,joe,donald,So much of this could have been prevented if we had a president who listened to someone other than himself.
11812,joe,donald,"Donald Trump is cutting food assistance for 700,000 people, but somehow found $1.4 billion for his sham of a border wall. This administration is morally bankrupt. https://t.co/1CPQhgNUdx"
11852,joe,donald,"""This isn’t about taxing job creators. This is about helping job creators.""—President Obama"
11857,joe,donald,Get to know the 5 key points of the Democratic Party platform in 1 RT-friendly graphic: http://t.co/LiIAH4Es
11890,joe,donald,Thrilled to see the 2028 Olympics coming to Los Angeles. Thanks to @MayorOfLA Garcetti who worked hard to secure a big win for US athletics.
11950,donald,joe,""" @ 1SimranjitSingh: I am a student myself. I cannot believe that Obama, has doubled the interest rate on student loans. Trump for President!"""
11961,donald,joe,Resilience is part of the survival of the fittest formula--make sure you remain adaptable.
12083,donald,joe,"As President I have an obligation to end CORRUPTION, even if that means requesting the help of a foreign country or countries. It is done all the time. This has NOTHING to do with politics or a political campaign against the Bidens. This does have to do with their corruption!"
12090,joe,donald,"Now he’s switched to falsely telling us that he’s taking action that he has not taken, and promising results that he’s not delivering. People are scared. They're frightened. And their president is just exacerbating their concerns."
12112,joe,donald,".@BarackObama on the GOP convention: ""They talked a lot about me. But they didn't say much about you."" http://t.co/Gs6Fx940"
12286,joe,donald,"New Hampshire really is God’s country. Thank you for a great evening, Croydon! https://t.co/eJMBivruMb"
12291,donald,joe,“No person who is enthusiastic about his work has anything to fear from life.” – Samuel Goldwyn
12295,joe,donald,Just a few ways President Obama is moving this country forward: http://t.co/mp5MWqZJ
